feature_config,description,model,model_label,n_stations,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse
F1,Autoregressive (target only),informer,Informer2020,18,6.253935739928002,9.522107522373142,4.222916739434563,6.057272071419063
F1,Autoregressive (target only),airformer,AirFormer,18,6.148429287804498,9.500679175059,4.212229781680637,6.228765461179945
F1,Autoregressive (target only),gat_informer,GAT-Informer,18,6.0542530881034,9.551323493321737,4.091077076064216,6.1033380428949995
F1,Autoregressive (target only),xgboost,XGBoost,18,6.2175756359224845,9.389760441564441,4.19315891375692,5.973814633537173
F2,Target + temporal features,informer,Informer2020,18,6.362667596185857,9.571961727268004,4.362683023342084,6.155993346073793
F2,Target + temporal features,airformer,AirFormer,18,6.0715688069661455,9.515650457806057,4.205534087287055,6.274049520492554
F2,Target + temporal features,gat_informer,GAT-Informer,18,6.058857096566094,9.545709292093912,4.091784742143419,6.096808711687724
F2,Target + temporal features,xgboost,XGBoost,18,6.136971165307547,9.257587614335437,4.134513558478487,5.848966616723921
F3,F2 + meteorology,informer,Informer2020,18,6.487549978619664,9.699673826698291,4.491637864229864,6.309506803407162
F3,F2 + meteorology,airformer,AirFormer,18,5.848091549343533,9.126903110080296,3.889903121524387,5.704182386398315
F3,F2 + meteorology,gat_informer,GAT-Informer,18,6.065313882297939,9.556773662567139,4.089088691605462,6.110791855388218
F3,F2 + meteorology,xgboost,XGBoost,18,6.2059782126448795,9.272537785970298,4.163649907986367,5.818789550419971
F4,F3 + co-pollutants,informer,Informer2020,18,6.445709163772146,9.69002748437931,4.416665372826753,6.272748808524582
F4,F3 + co-pollutants,airformer,AirFormer,18,5.9467719131045875,9.205746359295315,4.004284805721706,5.827795690960354
F4,F3 + co-pollutants,gat_informer,GAT-Informer,18,6.293165736728245,9.70125643412272,4.264495637681749,6.310966703626844
F4,F3 + co-pollutants,xgboost,XGBoost,18,6.154032354520918,9.244704382898988,4.112718484484018,5.793668390010243
F5,F4 + Sah_int + episode memory (lags/dur/max3); no binary Sah,informer,Informer2020,18,6.533987861947103,9.770379238964566,4.507948339555904,6.383244416385157
F5,F4 + Sah_int + episode memory (lags/dur/max3); no binary Sah,airformer,AirFormer,18,6.008306662241618,9.084200037850273,3.9867225090662637,5.64766173892551
F5,F4 + Sah_int + episode memory (lags/dur/max3); no binary Sah,gat_informer,GAT-Informer,18,6.064284324645996,9.601452297634548,4.16627820332845,6.174013945791456
F5,F4 + Sah_int + episode memory (lags/dur/max3); no binary Sah,xgboost,XGBoost,18,6.094203437465615,9.020324574716312,3.976417491213228,5.44778840987245
